Age,NumLoans,NumRealEstateLoans,NumDependents,Num30-59Delinquencies,Num60-89Delinquencies,Income,BalanceToCreditLimit,Delinquent90
4.0,4.0,0.0,0,1.0,0.0,3.0,0.387028,0.0
4.0,3.0,1.0,1,1.0,0.0,3.0,0.234679,0.0
4.0,5.0,1.0,1,1.0,0.0,0.0,0.348227,0.0
4.0,1.0,0.0,0,0.0,0.0,0.0,0.97193,0.0
4.0,1.0,0.0,0,0.0,0.0,2.0,0.0100435,0.0
5.0,4.0,1.0,1,0.0,0.0,5.0,0.004951,0.0
5.0,3.0,0.0,0,0.0,0.0,3.0,0.039618,0.0
4.0,2.0,0.0,0,0.0,0.0,2.0,0.846364,0.0
2.0,3.0,0.0,0,0.0,0.0,3.0,0.048213,0.0
2.0,2.0,0.0,0,0.0,0.0,3.0,0.366262,0.0
3.0,3.0,1.0,1,0.0,0.0,0.0,0.428382,0.0
5.0,1.0,2.0,1,0.0,0.0,5.0,0.059969,0.0
5.0,4.0,1.0,1,0.0,0.0,5.0,0.086075,0.0
3.0,1.0,0.0,1,1.0,1.0,4.0,0.01127067,0.0
3.0,1.0,0.0,0,0.0,0.0,3.0,0.282846,0.0
5.0,1.0,1.0,0,1.0,1.0,3.0,0.542081,0.0
4.0,1.0,1.0,0,1.0,1.0,3.0,0.010016339999999999,0.0
3.0,4.0,1.0,0,0.0,0.0,4.0,0.122221,0.0
4.0,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0
5.0,2.0,0.0,0,0.0,0.0,0.0,0.038134,0.0
3.0,3.0,0.0,1,1.0,0.0,3.0,0.46385,0.0
6.0,1.0,0.0,0,0.0,0.0,3.0,0.001621,0.0
5.0,3.0,1.0,0,0.0,0.0,4.0,0.04225,0.0
2.0,3.0,0.0,1,0.0,0.0,3.0,0.01326409,0.0
4.0,1.0,1.0,1,0.0,0.0,5.0,0.689863,0.0
4.0,4.0,1.0,1,0.0,0.0,5.0,0.012659,0.0
5.0,3.0,1.0,0,0.0,0.0,3.0,0.00697,0.0
4.0,5.0,1.0,1,0.0,0.0,4.0,0.048915,0.0
4.0,3.0,1.0,0,0.0,0.0,4.0,0.506212,0.0
4.0,4.0,1.0,1,0.0,0.0,3.0,0.035394,0.0
1.0,1.0,0.0,0,0.0,0.0,2.0,0.01002435,0.0
2.0,1.0,1.0,0,0.0,1.0,2.0,0.118327,0.0
5.0,1.0,0.0,0,0.0,0.0,2.0,0.142227,0.0
2.0,1.0,0.0,2,0.0,0.0,3.0,0.614501,0.0
2.0,3.0,1.0,1,0.0,0.0,3.0,0.33446,1.0
4.0,5.0,1.0,1,0.0,0.0,4.0,0.54369,0.0
2.0,2.0,0.0,1,0.0,0.0,3.0,0.282359,0.0
2.0,2.0,1.0,1,0.0,0.0,4.0,0.101662,0.0
4.0,4.0,0.0,0,1.0,0.0,2.0,0.332074,0.0
4.0,4.0,2.0,1,0.0,0.0,3.0,0.866706,1.0
5.0,3.0,1.0,0,0.0,0.0,2.0,0.046681,0.0
5.0,2.0,2.0,0,0.0,0.0,3.0,0.0,0.0
3.0,1.0,0.0,0,0.0,0.0,2.0,0.01003712,0.0
4.0,2.0,1.0,1,2.0,0.0,3.0,0.082796,0.0
3.0,3.0,1.0,0,0.0,0.0,3.0,0.111881,0.0
4.0,4.0,1.0,1,0.0,0.0,4.0,0.022169,0.0
5.0,2.0,1.0,0,0.0,0.0,3.0,0.04517,0.0
4.0,3.0,1.0,0,0.0,0.0,3.0,0.525315,0.0
3.0,4.0,0.0,0,0.0,0.0,3.0,4.8e-05,0.0
4.0,3.0,1.0,1,0.0,0.0,3.0,0.101152,0.0
3.0,2.0,1.0,1,0.0,0.0,4.0,0.085832,0.0
5.0,1.0,0.0,0,0.0,0.0,3.0,0.367092,0.0
3.0,3.0,1.0,1,0.0,0.0,3.0,0.0,0.0
2.0,4.0,1.0,0,0.0,0.0,4.0,0.394608,0.0
4.0,1.0,0.0,1,0.0,0.0,3.0,0.323356,1.0
5.0,1.0,0.0,0,0.0,0.0,2.0,0.19521,0.0
2.0,0.0,0.0,1,0.0,0.0,3.0,0.01009526,0.0
5.0,3.0,0.0,1,0.0,0.0,0.0,0.111791,0.0
3.0,3.0,0.0,0,0.0,0.0,0.0,0.07896,0.0
4.0,3.0,1.0,1,0.0,0.0,3.0,0.653371,0.0
5.0,1.0,0.0,0,0.0,0.0,3.0,0.062325,0.0
3.0,2.0,1.0,1,0.0,0.0,2.0,0.237186,0.0
5.0,1.0,1.0,0,0.0,0.0,0.0,0.01001345,0.0
4.0,1.0,0.0,1,0.0,0.0,3.0,0.945739,0.0
1.0,1.0,0.0,0,0.0,0.0,0.0,0.01002433,0.0
5.0,2.0,1.0,1,1.0,0.0,3.0,0.903426,0.0
2.0,0.0,0.0,1,0.0,1.0,3.0,0.01004759,1.0
4.0,1.0,1.0,2,1.0,0.0,3.0,0.010053330000000001,1.0
4.0,3.0,1.0,1,0.0,0.0,3.0,0.576449,0.0
2.0,2.0,1.0,1,1.0,0.0,3.0,0.793091,0.0
2.0,1.0,1.0,0,0.0,0.0,0.0,0.01005622,0.0
1.0,1.0,0.0,0,1.0,0.0,2.0,0.010079929999999999,0.0
2.0,3.0,1.0,0,0.0,0.0,4.0,0.953883,0.0
4.0,4.0,1.0,0,0.0,0.0,3.0,0.34231,0.0
4.0,3.0,0.0,0,0.0,1.0,3.0,0.003627,0.0
4.0,4.0,1.0,1,1.0,0.0,4.0,0.051145,0.0
4.0,2.0,1.0,2,0.0,0.0,5.0,0.531984,0.0
4.0,3.0,1.0,0,0.0,0.0,3.0,0.302795,0.0
2.0,1.0,1.0,1,0.0,0.0,3.0,0.010085789999999999,0.0
5.0,4.0,0.0,0,0.0,0.0,4.0,0.508834,0.0
3.0,4.0,0.0,1,1.0,0.0,2.0,0.810517,1.0
5.0,4.0,1.0,0,3.0,1.0,0.0,0.570821,0.0
5.0,1.0,1.0,0,0.0,0.0,0.0,0.030187,0.0
5.0,1.0,0.0,0,0.0,0.0,0.0,0.010033859999999999,0.0
5.0,1.0,0.0,0,0.0,0.0,3.0,0.01058,0.0
4.0,4.0,1.0,1,0.0,0.0,3.0,0.384102,0.0
3.0,3.0,0.0,0,1.0,0.0,3.0,0.436055,0.0
5.0,1.0,1.0,0,0.0,0.0,0.0,0.01002222,0.0
5.0,3.0,0.0,0,0.0,0.0,4.0,0.017056,0.0
5.0,4.0,1.0,0,0.0,0.0,3.0,0.026704,0.0
5.0,4.0,2.0,0,0.0,0.0,0.0,8551.304143479232,0.0
3.0,1.0,1.0,1,0.0,0.0,4.0,0.010063260000000001,0.0
3.0,2.0,1.0,0,1.0,0.0,3.0,0.05829,0.0
5.0,4.0,1.0,0,0.0,0.0,0.0,0.350381,0.0
3.0,2.0,0.0,1,0.0,0.0,3.0,0.239961,0.0
3.0,3.0,1.0,0,2.0,1.0,0.0,0.994101,1.0
4.0,2.0,1.0,0,0.0,0.0,3.0,0.024842,0.0
3.0,1.0,1.0,1,0.0,0.0,4.0,0.30068,0.0
5.0,4.0,1.0,1,0.0,0.0,4.0,0.030206,0.0
4.0,3.0,1.0,1,0.0,0.0,3.0,0.041116,0.0
4.0,1.0,0.0,0,0.0,0.0,3.0,0.01247,0.0
5.0,4.0,0.0,0,0.0,0.0,4.0,0.006016,0.0
6.0,1.0,0.0,0,0.0,0.0,3.0,0.049285,0.0
4.0,5.0,1.0,0,0.0,0.0,0.0,0.596584,0.0
2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0,4.0,4.0,2.0,0.01001062,1.0
5.0,2.0,0.0,0,0.0,0.0,0.0,0.049525,0.0
4.0,2.0,1.0,0,0.0,0.0,3.0,0.802138,0.0
6.0,3.0,0.0,0,0.0,0.0,4.0,0.021424,0.0
5.0,2.0,1.0,0,0.0,0.0,4.0,0.07586,0.0
3.0,3.0,0.0,0,0.0,0.0,4.0,0.176896,0.0
5.0,4.0,1.0,1,0.0,0.0,0.0,0.601902,0.0
2.0,1.0,0.0,1,1.0,1.0,2.0,1.000059,0.0
3.0,2.0,0.0,0,1.0,1.0,2.0,0.981075,1.0
3.0,2.0,0.0,1,0.0,0.0,3.0,0.042747,0.0
3.0,4.0,1.0,1,0.0,0.0,3.0,0.16869,0.0
3.0,3.0,1.0,0,0.0,0.0,2.0,0.051021,0.0
4.0,2.0,1.0,1,0.0,0.0,4.0,0.153924,0.0
4.0,4.0,2.0,0,0.0,0.0,6.0,8551.304143479232,0.0
3.0,1.0,1.0,1,0.0,0.0,3.0,0.655997,0.0
2.0,3.0,1.0,1,1.0,0.0,3.0,0.4389,0.0
3.0,2.0,0.0,0,1.0,0.0,2.0,0.182728,0.0
3.0,1.0,0.0,0,0.0,0.0,3.0,0.0,0.0
2.0,5.0,1.0,0,0.0,0.0,4.0,0.451023,0.0
2.0,1.0,0.0,0,0.0,0.0,0.0,0.01006795,0.0
4.0,1.0,1.0,0,0.0,0.0,0.0,0.003754,0.0
2.0,1.0,0.0,0,1.0,0.0,2.0,0.01000574,1.0
3.0,1.0,1.0,0,0.0,0.0,4.0,0.511086,0.0
1.0,1.0,0.0,1,2.0,0.0,2.0,0.01008303,0.0
4.0,2.0,0.0,1,0.0,0.0,4.0,0.116187,0.0
5.0,2.0,0.0,0,2.0,0.0,3.0,0.067926,0.0
5.0,1.0,0.0,0,0.0,0.0,2.0,0.0,0.0
5.0,3.0,1.0,1,1.0,0.0,3.0,0.0,0.0
5.0,4.0,0.0,1,0.0,0.0,4.0,8551.304143479232,0.0
4.0,3.0,1.0,0,0.0,0.0,0.0,0.206201,0.0
6.0,2.0,0.0,1,0.0,0.0,3.0,0.001838,0.0
4.0,3.0,0.0,1,0.0,0.0,3.0,0.023686,0.0
5.0,2.0,1.0,0,0.0,0.0,3.0,0.262948,0.0
4.0,1.0,0.0,2,0.0,0.0,0.0,0.01067577,0.0
2.0,3.0,1.0,0,0.0,0.0,3.0,0.003779,0.0
4.0,5.0,1.0,1,0.0,1.0,3.0,0.39451,0.0
4.0,2.0,1.0,0,0.0,0.0,0.0,0.000424,0.0
5.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,1.0,1,2.0,0.0,3.0,0.17319,0.0
5.0,1.0,0.0,0,0.0,0.0,3.0,0.232979,0.0
3.0,3.0,1.0,1,1.0,0.0,4.0,0.146996,0.0
4.0,2.0,0.0,0,0.0,0.0,2.0,0.0,0.0
5.0,1.0,0.0,0,0.0,0.0,3.0,0.200498,0.0
4.0,1.0,0.0,1,0.0,0.0,3.0,0.01005584,1.0
5.0,2.0,1.0,0,0.0,0.0,0.0,0.000913,0.0
5.0,2.0,1.0,0,0.0,0.0,3.0,0.203793,0.0
2.0,2.0,0.0,0,0.0,0.0,2.0,0.147016,0.0
2.0,1.0,0.0,0,0.0,0.0,3.0,0.188004,0.0
5.0,4.0,2.0,0,1.0,0.0,3.0,0.211845,0.0
4.0,3.0,1.0,0,0.0,0.0,4.0,0.048408,0.0
5.0,1.0,1.0,0,2.0,0.0,2.0,0.0,1.0
2.0,0.0,0.0,0,0.0,0.0,0.0,0.010034099999999999,0.0
5.0,1.0,0.0,1,0.0,0.0,4.0,0.137465,0.0
5.0,3.0,0.0,1,0.0,0.0,4.0,0.042477,0.0
4.0,1.0,1.0,1,0.0,0.0,3.0,0.051084,0.0
5.0,1.0,0.0,0,0.0,0.0,3.0,0.022981,0.0
4.0,1.0,0.0,0,0.0,0.0,0.0,0.028722,0.0
3.0,1.0,0.0,1,0.0,0.0,2.0,0.771216,0.0
2.0,2.0,1.0,1,2.0,0.0,3.0,0.243569,0.0
5.0,2.0,0.0,0,0.0,0.0,4.0,0.013519,0.0
3.0,1.0,1.0,1,0.0,0.0,3.0,0.232897,0.0
4.0,3.0,1.0,1,0.0,0.0,3.0,0.710172,0.0
5.0,1.0,1.0,0,1.0,1.0,0.0,0.010086520000000002,0.0
4.0,4.0,1.0,0,0.0,0.0,3.0,0.0,0.0
4.0,4.0,1.0,1,0.0,0.0,3.0,0.850962,0.0
3.0,2.0,1.0,2,0.0,0.0,3.0,0.9669,0.0
3.0,2.0,1.0,1,1.0,0.0,3.0,0.247258,0.0
4.0,1.0,1.0,0,0.0,0.0,0.0,0.040721,0.0
4.0,2.0,1.0,2,0.0,0.0,4.0,0.138349,0.0
2.0,2.0,1.0,1,1.0,0.0,3.0,0.104136,0.0
5.0,1.0,0.0,0,0.0,0.0,0.0,0.062383,0.0
3.0,2.0,1.0,2,0.0,0.0,3.0,0.458096,1.0
6.0,2.0,0.0,0,0.0,0.0,0.0,0.00078,0.0
5.0,1.0,0.0,0,0.0,0.0,2.0,0.018363,0.0
5.0,3.0,0.0,0,0.0,0.0,3.0,0.103725,0.0
5.0,2.0,1.0,0,0.0,0.0,0.0,0.012306,0.0
4.0,1.0,1.0,0,0.0,0.0,0.0,0.01199,0.0
2.0,3.0,1.0,0,1.0,0.0,3.0,0.0,0.0
4.0,4.0,1.0,0,0.0,0.0,3.0,0.318484,0.0
5.0,3.0,1.0,1,0.0,0.0,3.0,0.299955,0.0
4.0,2.0,1.0,1,0.0,0.0,4.0,0.200187,0.0
5.0,4.0,1.0,1,0.0,0.0,0.0,0.027556,0.0
3.0,2.0,1.0,0,0.0,0.0,0.0,0.100219,0.0
4.0,4.0,1.0,2,0.0,0.0,5.0,0.207891,0.0
5.0,3.0,1.0,0,1.0,0.0,2.0,0.036636,0.0
4.0,5.0,1.0,1,0.0,0.0,5.0,0.460875,0.0
4.0,4.0,1.0,1,1.0,0.0,3.0,0.667603,0.0
5.0,1.0,0.0,0,0.0,0.0,0.0,0.042085,0.0
5.0,3.0,1.0,0,0.0,0.0,3.0,0.076661,0.0
4.0,3.0,1.0,1,0.0,0.0,4.0,0.897319,0.0
3.0,1.0,0.0,1,1.0,1.0,0.0,0.839075,1.0
4.0,2.0,1.0,1,1.0,0.0,3.0,0.105493,0.0
5.0,2.0,1.0,0,0.0,0.0,3.0,0.23592,0.0
4.0,1.0,1.0,0,0.0,0.0,0.0,0.107893,0.0
4.0,4.0,1.0,0,0.0,0.0,3.0,0.024781,0.0
5.0,1.0,0.0,0,1.0,0.0,3.0,0.0,0.0
4.0,1.0,1.0,1,0.0,0.0,4.0,0.161163,0.0
5.0,4.0,1.0,0,0.0,0.0,4.0,0.022214,0.0
5.0,4.0,0.0,1,0.0,0.0,3.0,0.000425,0.0
2.0,2.0,0.0,0,0.0,0.0,3.0,0.676083,0.0
5.0,2.0,1.0,0,0.0,0.0,0.0,0.463296,0.0
4.0,3.0,1.0,1,0.0,0.0,4.0,0.362946,0.0
6.0,1.0,0.0,0,0.0,0.0,0.0,0.000911,0.0
3.0,3.0,1.0,1,0.0,0.0,4.0,0.506778,0.0
2.0,1.0,0.0,0,0.0,0.0,2.0,0.077194,0.0
2.0,1.0,0.0,0,0.0,0.0,2.0,0.006976,0.0
5.0,1.0,0.0,0,0.0,0.0,3.0,0.01005312,0.0
6.0,1.0,0.0,0,0.0,0.0,4.0,0.0,0.0
1.0,1.0,0.0,0,1.0,0.0,1.0,0.201485,0.0
4.0,5.0,2.0,1,0.0,0.0,5.0,8551.304143479232,0.0
4.0,2.0,1.0,1,0.0,0.0,3.0,0.112955,0.0
3.0,1.0,0.0,0,0.0,0.0,2.0,0.031082,0.0
4.0,4.0,1.0,0,0.0,0.0,4.0,0.41159,0.0
3.0,2.0,1.0,1,0.0,0.0,3.0,0.056346,0.0
3.0,4.0,1.0,1,0.0,0.0,3.0,0.238948,0.0
2.0,5.0,1.0,0,0.0,0.0,1.0,0.08007,0.0
3.0,3.0,1.0,1,0.0,0.0,3.0,9.7e-05,0.0
4.0,3.0,1.0,2,0.0,0.0,3.0,0.014249,0.0
5.0,4.0,1.0,1,0.0,0.0,3.0,0.09096,0.0
3.0,5.0,3.0,2,1.0,0.0,4.0,8551.304143479232,0.0
4.0,1.0,0.0,0,0.0,0.0,2.0,0.01214,0.0
4.0,1.0,1.0,0,0.0,0.0,4.0,0.093199,0.0
5.0,3.0,1.0,0,0.0,0.0,3.0,0.036021,0.0
3.0,3.0,2.0,2,1.0,0.0,5.0,8551.304143479232,0.0
5.0,2.0,1.0,0,0.0,0.0,2.0,0.277821,0.0
4.0,3.0,1.0,0,0.0,0.0,3.0,0.723537,0.0
4.0,2.0,1.0,0,0.0,0.0,4.0,0.159553,0.0
4.0,1.0,0.0,0,0.0,0.0,3.0,0.341643,0.0
5.0,4.0,1.0,0,0.0,0.0,3.0,0.149499,0.0
4.0,3.0,1.0,1,0.0,0.0,6.0,0.041648,0.0
4.0,3.0,1.0,0,0.0,0.0,3.0,0.02686,0.0
3.0,4.0,0.0,1,0.0,0.0,4.0,0.863777,0.0
4.0,4.0,1.0,0,0.0,0.0,4.0,0.292587,0.0
3.0,2.0,0.0,2,0.0,0.0,3.0,0.106992,0.0
5.0,3.0,1.0,0,0.0,0.0,3.0,0.056585,0.0
5.0,2.0,1.0,1,0.0,0.0,2.0,0.08546,0.0
3.0,2.0,1.0,0,0.0,0.0,3.0,0.296109,0.0
5.0,1.0,0.0,0,0.0,0.0,2.0,0.020051,0.0
5.0,1.0,0.0,0,0.0,0.0,2.0,0.009966,0.0
4.0,3.0,1.0,0,0.0,0.0,3.0,0.886294,0.0
5.0,1.0,0.0,1,1.0,0.0,2.0,0.120214,1.0
5.0,2.0,1.0,0,0.0,0.0,0.0,0.190521,0.0
4.0,1.0,1.0,0,0.0,0.0,0.0,0.061591,0.0
3.0,2.0,1.0,0,0.0,0.0,3.0,0.583784,0.0
4.0,1.0,1.0,0,0.0,0.0,0.0,0.002954,0.0
2.0,1.0,0.0,0,0.0,0.0,0.0,0.259402,0.0
5.0,3.0,0.0,0,0.0,0.0,4.0,0.213018,0.0
